,Total_suma,Număr_produse,procent_TVA,metoda_plata,Oră_emitere,Comerciant_id,eticheta,motiv_frauda
95,151.53,4,9,numerar,19:32:24,C0098,non-fraudulent,
96,372.42,9,9,transfer,06:20:42,C0007,non-fraudulent,
97,120.33,3,9,numerar,15:13:10,C0083,non-fraudulent,
98,215.17,8,9,transfer,03:16:35,C0057,fraudulent,emitere_noaptea
99,139.75,6,9,tichete,12:52:19,C0094,non-fraudulent,
100,36.74,3,19,card,08:04:08,C0120,non-fraudulent,
101,103.46,3,9,transfer,07:45:22,C0174,non-fraudulent,
102,146.72,5,9,card,15:39:27,C0116,non-fraudulent,
103,195.39,4,9,card,11:37:02,C0035,non-fraudulent,
104,75.02,3,19,tichete,13:46:34,C0106,non-fraudulent,
105,274.24,6,19,card,07:34:01,C0060,non-fraudulent,
106,107.19,6,19,card,20:25:15,C0078,non-fraudulent,
107,70.78,4,19,numerar,01:17:02,C0135,fraudulent,emitere_noaptea
108,162.52,8,9,transfer,14:28:39,C0148,non-fraudulent,
109,135.67,7,19,card,17:46:23,C0005,non-fraudulent,
110,29.85,3,19,tichete,04:42:11,C0127,fraudulent,emitere_noaptea
111,67.98,5,19,tichete,16:08:59,C0131,non-fraudulent,
112,80.88,6,9,transfer,10:49:44,C0097,non-fraudulent,
113,467.73,11,19,tichete,04:39:22,C0020,fraudulent,emitere_noaptea
114,166.48,10,19,transfer,19:34:46,C0135,non-fraudulent,
115,302.37,7,9,numerar,16:59:38,C0111,fraudulent,numerar_prea_mare
116,170.93,6,19,numerar,16:10:58,C0107,fraudulent,comerciant_risc
117,160.41,9,9,transfer,06:54:45,C0083,non-fraudulent,
118,316.66,9,19,numerar,04:26:12,C0185,fraudulent,emitere_noaptea;numerar_prea_mare
119,254.72,7,19,tichete,06:55:09,C0186,non-fraudulent,
120,109.48,6,19,transfer,10:18:05,C0177,non-fraudulent,
121,264.56,6,9,transfer,07:52:50,C0122,non-fraudulent,
122,184.1,9,9,tichete,20:43:46,C0123,non-fraudulent,
123,217.95,6,9,transfer,23:54:23,C0095,non-fraudulent,
124,272.17,6,9,transfer,08:37:32,C0018,non-fraudulent,
125,628.36,13,9,numerar,15:31:18,C0168,fraudulent,numerar_prea_mare
126,57.63,3,19,card,09:12:29,C0130,non-fraudulent,
127,82.56,7,9,transfer,03:56:18,C0149,fraudulent,emitere_noaptea
128,133.42,4,19,tichete,16:52:36,C0122,non-fraudulent,
129,329.09,7,9,tichete,10:39:19,C0186,non-fraudulent,
130,58.04,5,9,tichete,15:10:33,C0015,non-fraudulent,
131,80.12,6,19,numerar,10:30:18,C0097,non-fraudulent,
132,137.92,5,9,card,11:18:45,C0008,non-fraudulent,
133,137.88,3,9,transfer,09:00:41,C0122,non-fraudulent,
134,210.7,6,19,transfer,14:42:31,C0125,non-fraudulent,
135,231.65,5,19,transfer,01:18:05,C0144,fraudulent,emitere_noaptea
136,93.35,3,9,card,07:21:54,C0148,non-fraudulent,
137,46.85,8,19,tichete,12:18:45,C0044,non-fraudulent,
138,39.65,5,19,numerar,02:21:01,C0015,fraudulent,emitere_noaptea
139,29.78,3,19,transfer,05:32:07,C0150,non-fraudulent,
140,33.9,6,19,card,23:08:15,C0160,non-fraudulent,
141,180.81,7,19,numerar,13:34:50,C0091,non-fraudulent,
142,115.02,4,9,card,02:00:56,C0026,fraudulent,emitere_noaptea
143,107.41,7,19,tichete,01:34:00,C0099,fraudulent,emitere_noaptea
144,432.15,9,19,card,04:18:36,C0015,fraudulent,emitere_noaptea
145,347.87,7,19,transfer,06:51:08,C0001,non-fraudulent,
146,78.27,2,9,transfer,22:23:46,C0118,non-fraudulent,
147,134.62,6,19,numerar,07:20:16,C0152,non-fraudulent,
148,97.23,3,19,card,10:16:23,C0177,non-fraudulent,
149,385.59,9,9,transfer,05:30:27,C0060,non-fraudulent,
150,123.01,6,9,transfer,15:58:41,C0106,non-fraudulent,
151,116.9,4,19,card,08:25:18,C0195,non-fraudulent,
152,248.7,6,19,card,02:19:45,C0115,fraudulent,emitere_noaptea
153,100.25,6,9,numerar,19:58:41,C0015,non-fraudulent,
154,332.85,7,9,card,14:56:53,C0023,non-fraudulent,
155,196.6,5,19,numerar,09:43:18,C0100,non-fraudulent,
156,235.09,5,9,numerar,20:07:36,C0115,non-fraudulent,
157,121.72,5,9,card,11:17:58,C0001,non-fraudulent,
158,187.83,6,19,numerar,17:59:39,C0054,non-fraudulent,
159,75.36,3,19,numerar,09:03:56,C0016,fraudulent,comerciant_risc
160,342.69,12,9,numerar,18:29:41,C0132,fraudulent,numerar_prea_mare;comerciant_risc
161,102.73,13,9,tichete,05:00:35,C0160,non-fraudulent,
162,198.86,4,19,numerar,20:14:09,C0149,non-fraudulent,
163,68.2,4,19,tichete,21:51:00,C0128,non-fraudulent,
164,50.86,4,19,tichete,20:41:24,C0187,non-fraudulent,
165,187.56,4,19,card,15:57:56,C0180,non-fraudulent,
166,87.31,3,19,transfer,02:10:24,C0088,fraudulent,emitere_noaptea
167,167.85,6,19,tichete,10:45:25,C0182,non-fraudulent,
168,156.09,6,9,numerar,01:35:09,C0171,fraudulent,emitere_noaptea
169,268.56,6,19,card,21:46:57,C0177,non-fraudulent,
170,146.02,9,19,transfer,09:14:04,C0157,non-fraudulent,
171,224.13,7,9,numerar,00:41:28,C0119,fraudulent,emitere_noaptea
172,379.69,10,19,tichete,06:15:25,C0191,non-fraudulent,
173,58.32,2,9,transfer,13:26:29,C0119,non-fraudulent,
174,56.67,6,9,tichete,09:26:54,C0131,non-fraudulent,
175,93.07,2,9,numerar,12:41:41,C0110,non-fraudulent,
176,132.51,5,9,numerar,09:53:08,C0070,non-fraudulent,
177,109.73,5,9,numerar,03:26:00,C0032,fraudulent,emitere_noaptea
178,124.81,3,9,tichete,03:43:39,C0144,fraudulent,emitere_noaptea
179,227.92,8,9,card,15:07:13,C0164,non-fraudulent,
180,138.48,4,9,card,15:21:06,C0196,non-fraudulent,
181,87.4,6,19,transfer,01:38:51,C0041,fraudulent,emitere_noaptea
182,96.37,4,19,card,12:12:29,C0036,non-fraudulent,
183,288.56,7,9,tichete,05:10:01,C0071,non-fraudulent,
184,211.22,5,9,card,02:40:24,C0080,fraudulent,emitere_noaptea
185,110.91,4,19,card,14:34:57,C0118,non-fraudulent,
186,186.34,9,19,card,10:56:11,C0125,non-fraudulent,
187,244.46,5,19,transfer,09:39:36,C0145,non-fraudulent,
188,123.71,3,9,tichete,23:56:22,C0077,non-fraudulent,
189,158.66,6,9,tichete,23:06:09,C0053,non-fraudulent,
190,287.88,9,19,numerar,04:28:28,C0045,fraudulent,emitere_noaptea
191,117.76,7,9,numerar,03:59:42,C0020,fraudulent,emitere_noaptea
192,155.68,4,9,card,11:15:39,C0187,non-fraudulent,
193,334.43,7,9,transfer,09:22:21,C0109,non-fraudulent,
194,147.22,5,19,tichete,13:28:14,C0025,non-fraudulent,
195,57.98,6,9,card,17:07:27,C0118,non-fraudulent,
196,141.91,6,9,transfer,08:32:23,C0038,non-fraudulent,
197,762.21,16,19,numerar,00:22:03,C0140,fraudulent,emitere_noaptea;numerar_prea_mare
198,167.77,8,19,numerar,22:15:43,C0167,non-fraudulent,
199,76.69,3,19,numerar,16:31:51,C0133,non-fraudulent,
200,284.01,9,9,card,15:37:04,C0026,non-fraudulent,
201,286.76,6,19,card,00:58:32,C0152,fraudulent,emitere_noaptea
202,188.63,4,19,numerar,18:55:07,C0110,non-fraudulent,
203,113.44,7,9,card,21:21:11,C0114,non-fraudulent,
204,225.83,6,19,transfer,18:18:36,C0169,non-fraudulent,
205,204.99,5,19,transfer,06:02:22,C0048,non-fraudulent,
206,68.46,7,19,numerar,11:58:46,C0016,fraudulent,comerciant_risc
207,307.11,8,9,tichete,03:15:03,C0070,fraudulent,emitere_noaptea
208,189.85,6,19,transfer,01:32:58,C0042,fraudulent,emitere_noaptea
209,309.13,7,19,card,14:03:22,C0157,non-fraudulent,
210,132.51,6,19,transfer,13:28:21,C0159,fraudulent,comerciant_risc
211,182.64,5,9,tichete,17:33:01,C0180,non-fraudulent,
212,43.89,4,19,card,21:21:45,C0076,non-fraudulent,
213,95.18,4,9,card,00:26:15,C0113,fraudulent,emitere_noaptea
214,130.03,8,9,transfer,11:27:01,C0031,non-fraudulent,
215,34.02,2,19,transfer,23:53:30,C0024,non-fraudulent,
216,31.47,6,19,transfer,07:16:47,C0001,non-fraudulent,
217,291.35,6,19,tichete,05:25:23,C0126,non-fraudulent,
218,70.3,6,19,transfer,04:26:43,C0090,fraudulent,emitere_noaptea
219,35.88,4,9,tichete,23:33:25,C0050,non-fraudulent,
220,310.89,12,9,card,04:20:01,C0020,fraudulent,emitere_noaptea
221,45.7,8,19,tichete,04:05:22,C0139,fraudulent,emitere_noaptea
222,30.93,6,9,tichete,11:48:34,C0090,non-fraudulent,
223,307.05,8,19,numerar,22:56:12,C0186,fraudulent,numerar_prea_mare
224,54.99,6,9,tichete,10:48:29,C0023,non-fraudulent,
225,43.39,6,9,numerar,16:38:56,C0163,non-fraudulent,
226,194.44,7,9,tichete,07:51:50,C0151,non-fraudulent,
227,158.21,6,19,card,08:05:45,C0149,non-fraudulent,
228,73.32,6,19,tichete,14:58:03,C0164,non-fraudulent,
229,231.22,7,19,transfer,05:47:17,C0054,non-fraudulent,
230,130.14,11,19,transfer,16:15:10,C0111,non-fraudulent,
231,42.29,2,19,numerar,09:30:52,C0164,non-fraudulent,
232,171.23,9,19,transfer,13:25:48,C0053,non-fraudulent,
233,173.06,10,19,transfer,19:08:25,C0097,non-fraudulent,
234,437.5,9,19,card,14:15:19,C0110,non-fraudulent,
235,241.42,5,19,card,15:26:35,C0066,non-fraudulent,
236,184.43,5,9,card,14:52:24,C0098,non-fraudulent,
237,65.58,4,9,numerar,20:16:19,C0094,non-fraudulent,
238,172.63,5,19,card,16:38:59,C0198,non-fraudulent,
239,258.89,7,19,transfer,11:19:25,C0083,non-fraudulent,
240,154.36,7,9,tichete,13:40:33,C0087,non-fraudulent,
241,203.9,8,19,card,03:00:10,C0048,fraudulent,emitere_noaptea
242,225.41,5,9,transfer,17:02:07,C0041,non-fraudulent,
243,116.01,3,19,card,04:32:23,C0083,fraudulent,emitere_noaptea
244,259.45,10,9,transfer,20:13:26,C0024,non-fraudulent,
245,60.99,3,19,tichete,20:07:59,C0073,non-fraudulent,
246,330.54,9,9,tichete,00:12:54,C0110,fraudulent,emitere_noaptea
247,208.39,7,19,transfer,10:05:23,C0037,non-fraudulent,
248,208.89,9,9,numerar,17:21:36,C0014,non-fraudulent,
249,120.89,6,19,transfer,19:56:51,C0068,non-fraudulent,
250,125.09,5,19,transfer,14:43:04,C0109,non-fraudulent,
251,98.08,7,9,transfer,02:41:01,C0015,fraudulent,emitere_noaptea
252,218.78,5,9,tichete,00:26:13,C0174,fraudulent,emitere_noaptea
253,275.86,7,9,transfer,15:13:53,C0102,non-fraudulent,
254,276.32,6,9,card,13:57:40,C0062,non-fraudulent,
255,58.15,2,9,tichete,02:41:01,C0056,fraudulent,emitere_noaptea
256,18.31,2,9,numerar,11:47:49,C0074,non-fraudulent,
257,141.63,5,9,transfer,21:55:48,C0137,non-fraudulent,
258,449.82,10,19,numerar,11:47:37,C0170,fraudulent,numerar_prea_mare
259,29.17,5,19,numerar,04:36:13,C0002,fraudulent,emitere_noaptea
260,356.36,9,9,card,00:38:36,C0012,fraudulent,emitere_noaptea
261,339.52,7,19,card,01:57:00,C0103,fraudulent,emitere_noaptea
262,201.67,7,9,transfer,16:47:40,C0039,non-fraudulent,
263,200.72,7,9,tichete,10:07:33,C0075,non-fraudulent,
264,263.85,6,19,numerar,12:24:22,C0086,non-fraudulent,
265,143.76,3,19,numerar,22:33:50,C0039,non-fraudulent,
266,159.32,6,19,tichete,19:17:39,C0040,non-fraudulent,
267,52.99,2,19,tichete,20:15:23,C0166,non-fraudulent,
268,85.06,5,19,card,09:43:25,C0173,non-fraudulent,
269,90.34,5,19,tichete,23:33:58,C0049,non-fraudulent,
270,108.95,7,19,tichete,18:01:48,C0163,non-fraudulent,
271,102.23,3,9,transfer,20:05:20,C0043,non-fraudulent,
272,68.92,2,9,card,13:44:35,C0124,non-fraudulent,
273,339.45,7,19,tichete,05:07:44,C0187,non-fraudulent,
274,297.51,6,9,numerar,12:15:38,C0155,non-fraudulent,
275,135.5,4,9,tichete,00:03:01,C0066,fraudulent,emitere_noaptea
276,36.06,7,19,card,02:32:05,C0009,fraudulent,emitere_noaptea
277,183.38,5,9,card,00:51:13,C0141,fraudulent,emitere_noaptea
278,343.03,9,19,tichete,20:21:29,C0018,non-fraudulent,
279,175.26,6,19,transfer,04:27:32,C0193,fraudulent,emitere_noaptea
280,202.95,5,19,numerar,11:21:08,C0158,non-fraudulent,
281,82.43,11,19,transfer,17:58:20,C0054,non-fraudulent,
282,247.49,5,9,numerar,07:35:32,C0037,non-fraudulent,
283,302.57,7,9,numerar,20:21:03,C0033,fraudulent,numerar_prea_mare
284,156.99,4,9,transfer,13:18:15,C0033,non-fraudulent,
285,11.79,2,19,numerar,18:41:29,C0176,non-fraudulent,
286,188.52,5,19,tichete,07:59:06,C0097,non-fraudulent,
287,104.66,4,19,card,03:29:19,C0131,fraudulent,emitere_noaptea
288,64.81,6,9,card,02:36:35,C0144,fraudulent,emitere_noaptea
289,141.13,6,9,card,15:33:20,C0095,non-fraudulent,
290,284.09,6,19,transfer,20:22:20,C0199,fraudulent,comerciant_risc
291,243.14,5,19,numerar,21:47:30,C0041,non-fraudulent,
292,285.15,6,19,numerar,07:56:52,C0113,non-fraudulent,
293,54.76,3,19,transfer,06:52:46,C0105,non-fraudulent,
294,158.67,6,19,numerar,06:53:29,C0127,non-fraudulent,
295,83.95,6,19,card,06:32:28,C0081,non-fraudulent,
296,234.23,5,9,tichete,04:33:26,C0115,fraudulent,emitere_noaptea
297,180.04,4,19,tichete,01:57:02,C0043,fraudulent,emitere_noaptea
298,66.6,8,9,transfer,05:08:09,C0008,non-fraudulent,
299,205.57,5,19,tichete,20:06:05,C0130,non-fraudulent,
300,33.13,4,9,transfer,20:02:08,C0167,non-fraudulent,
301,82.15,2,19,numerar,21:56:57,C0159,fraudulent,comerciant_risc
302,103.86,4,9,transfer,09:44:20,C0070,non-fraudulent,
303,69.75,3,9,card,11:58:14,C0197,non-fraudulent,
304,240.67,5,19,tichete,13:25:34,C0030,non-fraudulent,
305,138.24,6,19,tichete,01:25:15,C0098,fraudulent,emitere_noaptea
306,173.4,6,19,card,11:29:42,C0141,non-fraudulent,
307,245.3,6,19,numerar,23:09:45,C0081,non-fraudulent,
308,215.17,6,19,tichete,08:05:43,C0148,non-fraudulent,
309,109.2,7,19,transfer,22:41:09,C0112,non-fraudulent,
310,241.51,9,9,tichete,06:06:49,C0076,non-fraudulent,
311,92.71,5,19,tichete,19:54:21,C0085,non-fraudulent,
312,74.16,2,9,transfer,13:51:01,C0104,non-fraudulent,
313,258.73,7,9,tichete,07:08:02,C0007,non-fraudulent,
314,252.86,7,9,tichete,18:41:58,C0151,non-fraudulent,
315,57.13,3,9,numerar,07:28:17,C0120,non-fraudulent,
316,249.45,7,19,tichete,01:33:56,C0086,fraudulent,emitere_noaptea
317,45.01,8,9,card,14:09:22,C0101,non-fraudulent,
318,247.15,9,19,transfer,06:31:43,C0134,non-fraudulent,
319,411.39,10,19,card,09:23:25,C0191,non-fraudulent,
320,313.77,7,9,tichete,12:36:56,C0089,non-fraudulent,
321,142.46,7,19,numerar,06:06:47,C0152,non-fraudulent,
322,227.45,8,19,numerar,03:08:04,C0096,fraudulent,emitere_noaptea
323,421.27,9,19,tichete,20:29:54,C0036,non-fraudulent,
324,267.78,6,9,transfer,00:07:40,C0150,fraudulent,emitere_noaptea
325,76.03,3,9,numerar,11:23:51,C0167,non-fraudulent,
326,42.83,6,19,tichete,11:11:50,C0104,non-fraudulent,
327,39.02,3,9,numerar,21:09:33,C0143,non-fraudulent,
328,212.47,7,19,transfer,21:22:56,C0176,non-fraudulent,
329,96.56,5,9,tichete,23:59:14,C0112,non-fraudulent,
330,150.35,6,19,tichete,07:13:53,C0101,non-fraudulent,
331,182.77,6,19,tichete,09:18:36,C0051,non-fraudulent,
332,232.43,5,19,numerar,04:43:44,C0180,fraudulent,emitere_noaptea
333,344.19,8,19,card,11:30:54,C0010,fraudulent,comerciant_risc
334,62.5,9,19,numerar,22:28:24,C0108,non-fraudulent,
335,93.3,5,19,transfer,21:57:43,C0141,non-fraudulent,
336,255.27,6,19,card,19:10:41,C0173,non-fraudulent,
337,127.35,4,19,numerar,11:30:18,C0183,non-fraudulent,
338,139.66,5,9,tichete,03:25:02,C0123,fraudulent,emitere_noaptea
339,106.34,5,19,transfer,04:51:25,C0054,fraudulent,emitere_noaptea
340,61.12,4,19,card,20:39:34,C0176,non-fraudulent,
341,71.93,4,9,transfer,01:40:49,C0100,fraudulent,emitere_noaptea
342,25.83,4,9,numerar,06:55:28,C0066,non-fraudulent,
343,119.43,8,9,card,16:38:53,C0049,non-fraudulent,
344,82.91,5,9,card,07:03:10,C0120,non-fraudulent,
345,171.62,7,9,transfer,20:35:42,C0130,non-fraudulent,
346,20.39,2,19,numerar,14:14:38,C0136,fraudulent,comerciant_risc
347,189.18,6,9,card,06:57:57,C0192,non-fraudulent,
348,194.98,5,19,tichete,07:53:58,C0009,non-fraudulent,
349,142.12,5,19,transfer,07:08:15,C0046,non-fraudulent,
350,40.05,1,19,transfer,20:03:18,C0160,non-fraudulent,
351,189.54,6,9,transfer,15:51:45,C0191,non-fraudulent,
352,43.51,5,19,card,13:03:00,C0064,non-fraudulent,
353,70.82,5,19,tichete,22:15:14,C0099,non-fraudulent,
354,177.11,4,9,numerar,09:17:06,C0112,non-fraudulent,
355,334.77,8,19,transfer,06:43:01,C0032,non-fraudulent,
356,246.58,5,19,numerar,10:09:17,C0143,non-fraudulent,
357,62.83,5,19,transfer,21:27:19,C0015,non-fraudulent,
358,31.6,5,9,tichete,07:25:09,C0024,non-fraudulent,
359,139.27,6,9,tichete,12:30:59,C0167,non-fraudulent,
360,70.2,4,9,card,22:53:47,C0078,non-fraudulent,
361,45.35,5,9,transfer,17:19:18,C0033,non-fraudulent,
362,244.63,5,19,tichete,01:38:14,C0075,fraudulent,emitere_noaptea
363,246.04,6,9,transfer,15:41:34,C0200,non-fraudulent,
364,247.29,10,9,tichete,12:15:27,C0191,non-fraudulent,
365,63.8,2,9,tichete,05:32:36,C0107,fraudulent,comerciant_risc
366,77.93,4,9,numerar,02:30:05,C0026,fraudulent,emitere_noaptea
367,130.73,4,9,tichete,23:00:02,C0006,fraudulent,comerciant_risc
368,163.12,5,9,card,20:33:27,C0006,fraudulent,comerciant_risc
369,112.94,5,19,numerar,16:15:59,C0068,non-fraudulent,
370,105.32,4,19,tichete,18:05:27,C0072,non-fraudulent,
371,261.5,8,19,numerar,04:56:28,C0180,fraudulent,emitere_noaptea
372,249.46,7,9,card,23:40:06,C0139,non-fraudulent,
373,146.48,9,9,transfer,17:37:10,C0088,non-fraudulent,
374,193.24,9,19,numerar,07:35:05,C0050,non-fraudulent,
375,75.87,5,9,card,09:37:03,C0171,non-fraudulent,
376,236.2,6,9,numerar,23:31:37,C0151,non-fraudulent,
377,261.51,9,19,tichete,17:03:56,C0192,non-fraudulent,
378,65.97,3,19,card,10:15:14,C0008,non-fraudulent,
379,65.47,8,19,numerar,10:08:41,C0077,non-fraudulent,
380,307.14,7,9,numerar,22:03:30,C0091,fraudulent,numerar_prea_mare
381,165.71,4,19,card,09:34:47,C0127,non-fraudulent,
382,208.62,5,9,numerar,05:07:53,C0099,non-fraudulent,
383,372.97,8,9,transfer,00:16:30,C0198,fraudulent,emitere_noaptea
384,69.16,7,9,transfer,22:46:23,C0062,non-fraudulent,
385,143.53,3,9,tichete,05:17:04,C0044,non-fraudulent,
386,195.57,4,19,numerar,13:02:12,C0122,non-fraudulent,
387,135.37,4,9,numerar,08:43:41,C0084,non-fraudulent,
388,106.46,8,9,card,01:12:08,C0070,fraudulent,emitere_noaptea
389,43.74,8,19,card,08:43:27,C0118,non-fraudulent,
390,159.57,5,9,card,09:46:04,C0146,non-fraudulent,
391,230.65,7,19,tichete,23:12:02,C0126,non-fraudulent,
392,136.78,4,9,tichete,18:31:35,C0083,non-fraudulent,
393,221.17,5,9,transfer,17:11:58,C0125,non-fraudulent,
394,123.43,7,9,transfer,19:04:54,C0120,non-fraudulent,
395,102.05,7,9,numerar,01:51:40,C0096,fraudulent,emitere_noaptea
396,114.96,5,19,numerar,18:52:27,C0192,non-fraudulent,
397,211.01,7,9,tichete,15:31:13,C0162,non-fraudulent,
398,46.42,8,19,transfer,10:59:48,C0104,non-fraudulent,
399,80.13,6,19,numerar,00:27:03,C0022,fraudulent,emitere_noaptea
400,292.66,6,19,tichete,13:23:53,C0126,non-fraudulent,
401,248.2,6,19,card,15:52:49,C0089,non-fraudulent,
402,430.21,9,9,card,01:12:41,C0091,fraudulent,emitere_noaptea
403,112.19,3,9,transfer,06:46:51,C0073,non-fraudulent,
404,237.43,7,9,tichete,10:58:52,C0175,non-fraudulent,
