Total_suma,Număr_produse,procent_TVA,metoda_plata,Oră_emitere,Comerciant_id,eticheta,motiv_frauda
467.73,11,19,tichete,04:39:22,C0020,fraudulent,emitere_noaptea
302.37,7,9,numerar,16:59:38,C0111,fraudulent,numerar_prea_mare
170.93,6,19,numerar,16:10:58,C0107,fraudulent,comerciant_risc
316.66,9,19,numerar,04:26:12,C0185,fraudulent,emitere_noaptea;numerar_prea_mare
628.36,13,9,numerar,15:31:18,C0168,fraudulent,numerar_prea_mare
82.56,7,9,transfer,03:56:18,C0149,fraudulent,emitere_noaptea
231.65,5,19,transfer,01:18:05,C0144,fraudulent,emitere_noaptea
39.65,5,19,numerar,02:21:01,C0015,fraudulent,emitere_noaptea
115.02,4,9,card,02:00:56,C0026,fraudulent,emitere_noaptea
107.41,7,19,tichete,01:34:00,C0099,fraudulent,emitere_noaptea
432.15,9,19,card,04:18:36,C0015,fraudulent,emitere_noaptea
248.7,6,19,card,02:19:45,C0115,fraudulent,emitere_noaptea
75.36,3,19,numerar,09:03:56,C0016,fraudulent,comerciant_risc
342.69,12,9,numerar,18:29:41,C0132,fraudulent,numerar_prea_mare;comerciant_risc
87.31,3,19,transfer,02:10:24,C0088,fraudulent,emitere_noaptea
156.09,6,9,numerar,01:35:09,C0171,fraudulent,emitere_noaptea
224.13,7,9,numerar,00:41:28,C0119,fraudulent,emitere_noaptea
109.73,5,9,numerar,03:26:00,C0032,fraudulent,emitere_noaptea
124.81,3,9,tichete,03:43:39,C0144,fraudulent,emitere_noaptea
87.4,6,19,transfer,01:38:51,C0041,fraudulent,emitere_noaptea
211.22,5,9,card,02:40:24,C0080,fraudulent,emitere_noaptea
287.88,9,19,numerar,04:28:28,C0045,fraudulent,emitere_noaptea
117.76,7,9,numerar,03:59:42,C0020,fraudulent,emitere_noaptea
762.21,16,19,numerar,00:22:03,C0140,fraudulent,emitere_noaptea;numerar_prea_mare
286.76,6,19,card,00:58:32,C0152,fraudulent,emitere_noaptea
68.46,7,19,numerar,11:58:46,C0016,fraudulent,comerciant_risc
307.11,8,9,tichete,03:15:03,C0070,fraudulent,emitere_noaptea
189.85,6,19,transfer,01:32:58,C0042,fraudulent,emitere_noaptea
132.51,6,19,transfer,13:28:21,C0159,fraudulent,comerciant_risc
95.18,4,9,card,00:26:15,C0113,fraudulent,emitere_noaptea
70.3,6,19,transfer,04:26:43,C0090,fraudulent,emitere_noaptea
310.89,12,9,card,04:20:01,C0020,fraudulent,emitere_noaptea
45.7,8,19,tichete,04:05:22,C0139,fraudulent,emitere_noaptea
307.05,8,19,numerar,22:56:12,C0186,fraudulent,numerar_prea_mare
203.9,8,19,card,03:00:10,C0048,fraudulent,emitere_noaptea
116.01,3,19,card,04:32:23,C0083,fraudulent,emitere_noaptea
330.54,9,9,tichete,00:12:54,C0110,fraudulent,emitere_noaptea
98.08,7,9,transfer,02:41:01,C0015,fraudulent,emitere_noaptea
218.78,5,9,tichete,00:26:13,C0174,fraudulent,emitere_noaptea
58.15,2,9,tichete,02:41:01,C0056,fraudulent,emitere_noaptea
449.82,10,19,numerar,11:47:37,C0170,fraudulent,numerar_prea_mare
29.17,5,19,numerar,04:36:13,C0002,fraudulent,emitere_noaptea
356.36,9,9,card,00:38:36,C0012,fraudulent,emitere_noaptea
339.52,7,19,card,01:57:00,C0103,fraudulent,emitere_noaptea
135.5,4,9,tichete,00:03:01,C0066,fraudulent,emitere_noaptea
36.06,7,19,card,02:32:05,C0009,fraudulent,emitere_noaptea
183.38,5,9,card,00:51:13,C0141,fraudulent,emitere_noaptea
175.26,6,19,transfer,04:27:32,C0193,fraudulent,emitere_noaptea
302.57,7,9,numerar,20:21:03,C0033,fraudulent,numerar_prea_mare
104.66,4,19,card,03:29:19,C0131,fraudulent,emitere_noaptea
64.81,6,9,card,02:36:35,C0144,fraudulent,emitere_noaptea
284.09,6,19,transfer,20:22:20,C0199,fraudulent,comerciant_risc
234.23,5,9,tichete,04:33:26,C0115,fraudulent,emitere_noaptea
180.04,4,19,tichete,01:57:02,C0043,fraudulent,emitere_noaptea
82.15,2,19,numerar,21:56:57,C0159,fraudulent,comerciant_risc
138.24,6,19,tichete,01:25:15,C0098,fraudulent,emitere_noaptea
249.45,7,19,tichete,01:33:56,C0086,fraudulent,emitere_noaptea
227.45,8,19,numerar,03:08:04,C0096,fraudulent,emitere_noaptea
267.78,6,9,transfer,00:07:40,C0150,fraudulent,emitere_noaptea
232.43,5,19,numerar,04:43:44,C0180,fraudulent,emitere_noaptea
344.19,8,19,card,11:30:54,C0010,fraudulent,comerciant_risc
139.66,5,9,tichete,03:25:02,C0123,fraudulent,emitere_noaptea
106.34,5,19,transfer,04:51:25,C0054,fraudulent,emitere_noaptea
71.93,4,9,transfer,01:40:49,C0100,fraudulent,emitere_noaptea
20.39,2,19,numerar,14:14:38,C0136,fraudulent,comerciant_risc
244.63,5,19,tichete,01:38:14,C0075,fraudulent,emitere_noaptea
63.8,2,9,tichete,05:32:36,C0107,fraudulent,comerciant_risc
77.93,4,9,numerar,02:30:05,C0026,fraudulent,emitere_noaptea
130.73,4,9,tichete,23:00:02,C0006,fraudulent,comerciant_risc
163.12,5,9,card,20:33:27,C0006,fraudulent,comerciant_risc
261.5,8,19,numerar,04:56:28,C0180,fraudulent,emitere_noaptea
307.14,7,9,numerar,22:03:30,C0091,fraudulent,numerar_prea_mare
372.97,8,9,transfer,00:16:30,C0198,fraudulent,emitere_noaptea
106.46,8,9,card,01:12:08,C0070,fraudulent,emitere_noaptea
102.05,7,9,numerar,01:51:40,C0096,fraudulent,emitere_noaptea
80.13,6,19,numerar,00:27:03,C0022,fraudulent,emitere_noaptea
430.21,9,9,card,01:12:41,C0091,fraudulent,emitere_noaptea
311.55,8,9,numerar,17:55:39,C0186,fraudulent,numerar_prea_mare
123.74,3,19,card,04:17:42,C0032,fraudulent,emitere_noaptea
37.85,6,9,transfer,00:44:35,C0181,fraudulent,emitere_noaptea
201.93,5,19,transfer,00:52:34,C0019,fraudulent,emitere_noaptea
35.98,2,9,numerar,01:32:43,C0183,fraudulent,emitere_noaptea
110.55,10,9,card,01:28:48,C0119,fraudulent,emitere_noaptea
82.63,2,19,tichete,00:28:45,C0121,fraudulent,emitere_noaptea
144.17,5,19,transfer,03:49:25,C0038,fraudulent,emitere_noaptea
111.07,10,9,transfer,01:48:13,C0176,fraudulent,emitere_noaptea
342.97,7,19,numerar,14:57:43,C0154,fraudulent,numerar_prea_mare;comerciant_risc
34.1,6,9,tichete,04:44:49,C0137,fraudulent,emitere_noaptea
449.1,9,19,card,04:10:45,C0084,fraudulent,emitere_noaptea
123.46,11,19,tichete,01:35:26,C0021,fraudulent,emitere_noaptea
81.76,5,19,tichete,17:21:22,C0006,fraudulent,comerciant_risc
142.84,3,9,card,03:53:52,C0062,fraudulent,emitere_noaptea
56.14,3,9,card,03:42:46,C0105,fraudulent,emitere_noaptea
53.84,6,19,tichete,04:20:59,C0171,fraudulent,emitere_noaptea
155.7,5,9,card,02:14:23,C0166,fraudulent,emitere_noaptea
69.98,3,19,tichete,01:43:48,C0076,fraudulent,emitere_noaptea
177.87,5,19,numerar,17:59:48,C0199,fraudulent,comerciant_risc
179.96,5,19,tichete,01:58:11,C0178,fraudulent,emitere_noaptea
155.31,5,19,numerar,01:56:07,C0096,fraudulent,emitere_noaptea
235.77,6,19,tichete,05:35:36,C0107,fraudulent,comerciant_risc
87.04,3,9,card,03:24:14,C0026,fraudulent,emitere_noaptea
74.01,13,19,tichete,04:40:29,C0157,fraudulent,emitere_noaptea
18.67,3,9,tichete,03:03:37,C0169,fraudulent,emitere_noaptea
173.5,8,19,tichete,10:52:55,C0136,fraudulent,comerciant_risc
381.43,9,9,numerar,19:28:01,C0084,fraudulent,numerar_prea_mare
134.76,5,19,transfer,02:13:15,C0096,fraudulent,emitere_noaptea
69.97,7,19,card,04:05:38,C0018,fraudulent,emitere_noaptea
140.6,6,9,numerar,03:41:12,C0062,fraudulent,emitere_noaptea
85.29,4,19,card,01:37:50,C0171,fraudulent,emitere_noaptea
128.71,6,19,card,02:19:13,C0127,fraudulent,emitere_noaptea
107.07,8,9,card,13:38:05,C0159,fraudulent,comerciant_risc
169.97,8,9,tichete,04:08:31,C0178,fraudulent,emitere_noaptea
318.65,7,9,card,00:40:56,C0057,fraudulent,emitere_noaptea
61.11,6,19,card,19:27:24,C0199,fraudulent,comerciant_risc
222.96,5,19,card,01:11:37,C0085,fraudulent,emitere_noaptea
132.66,4,9,tichete,02:45:38,C0101,fraudulent,emitere_noaptea
117.42,9,9,card,01:53:27,C0134,fraudulent,emitere_noaptea
28.35,5,19,numerar,01:39:37,C0018,fraudulent,emitere_noaptea
97.22,4,9,transfer,10:52:05,C0136,fraudulent,comerciant_risc
192.55,8,19,tichete,01:12:10,C0108,fraudulent,emitere_noaptea
167.28,4,19,card,00:38:17,C0016,fraudulent,emitere_noaptea;comerciant_risc
153.64,7,9,tichete,12:43:17,C0199,fraudulent,comerciant_risc
229.35,6,9,card,01:27:42,C0005,fraudulent,emitere_noaptea
160.79,4,9,numerar,13:50:11,C0199,fraudulent,comerciant_risc
145.65,8,19,tichete,04:05:46,C0152,fraudulent,emitere_noaptea
122.14,8,9,tichete,00:40:18,C0111,fraudulent,emitere_noaptea
209.13,5,19,card,10:10:58,C0154,fraudulent,comerciant_risc
145.25,4,19,numerar,00:51:53,C0181,fraudulent,emitere_noaptea
175.23,6,19,transfer,19:00:31,C0132,fraudulent,comerciant_risc
332.08,8,19,tichete,02:19:23,C0051,fraudulent,emitere_noaptea
50.49,7,19,numerar,03:00:43,C0004,fraudulent,emitere_noaptea
20.08,3,9,tichete,00:51:32,C0043,fraudulent,emitere_noaptea
32.26,4,9,tichete,03:35:47,C0190,fraudulent,emitere_noaptea
416.02,9,19,tichete,02:26:56,C0025,fraudulent,emitere_noaptea
83.03,3,9,tichete,01:57:38,C0197,fraudulent,emitere_noaptea
115.16,5,19,numerar,04:59:27,C0183,fraudulent,emitere_noaptea
373.02,9,19,transfer,03:28:52,C0012,fraudulent,emitere_noaptea
198.8,4,9,numerar,18:41:29,C0016,fraudulent,comerciant_risc
429.82,9,19,transfer,04:47:01,C0049,fraudulent,emitere_noaptea
237.99,5,9,card,02:00:13,C0159,fraudulent,emitere_noaptea;comerciant_risc
48.73,6,19,card,08:42:25,C0154,fraudulent,comerciant_risc
255.33,9,9,numerar,19:13:44,C0136,fraudulent,comerciant_risc
318.72,8,9,transfer,00:52:23,C0108,fraudulent,emitere_noaptea
105.04,4,19,tichete,04:28:51,C0185,fraudulent,emitere_noaptea
265.16,6,9,card,04:09:56,C0198,fraudulent,emitere_noaptea
328.33,9,9,transfer,04:23:52,C0127,fraudulent,emitere_noaptea
433.15,9,19,numerar,23:47:05,C0155,fraudulent,numerar_prea_mare
181.01,7,9,numerar,01:16:13,C0005,fraudulent,emitere_noaptea
141.76,3,9,transfer,00:20:16,C0131,fraudulent,emitere_noaptea
380.89,8,19,transfer,02:31:57,C0015,fraudulent,emitere_noaptea
352.03,9,9,card,01:54:19,C0187,fraudulent,emitere_noaptea
216.62,7,19,card,04:37:34,C0190,fraudulent,emitere_noaptea
410.52,9,9,numerar,05:13:37,C0071,fraudulent,numerar_prea_mare
148.32,6,9,card,03:18:43,C0029,fraudulent,emitere_noaptea
53.24,7,9,card,08:05:32,C0010,fraudulent,comerciant_risc
142.31,5,19,tichete,02:18:18,C0151,fraudulent,emitere_noaptea
211.1,5,19,card,00:16:35,C0144,fraudulent,emitere_noaptea
143.59,3,9,transfer,03:27:42,C0100,fraudulent,emitere_noaptea
83.0,4,9,tichete,15:45:36,C0132,fraudulent,comerciant_risc
205.66,6,9,transfer,00:39:12,C0107,fraudulent,emitere_noaptea;comerciant_risc
45.81,4,19,transfer,02:28:29,C0096,fraudulent,emitere_noaptea
111.68,4,19,tichete,00:52:00,C0045,fraudulent,emitere_noaptea
356.79,9,9,numerar,18:56:50,C0120,fraudulent,numerar_prea_mare
106.78,5,19,transfer,03:01:48,C0068,fraudulent,emitere_noaptea
131.75,6,9,card,00:31:42,C0038,fraudulent,emitere_noaptea
145.89,6,9,transfer,04:04:29,C0166,fraudulent,emitere_noaptea
247.44,7,19,card,04:50:07,C0147,fraudulent,emitere_noaptea
88.24,5,9,transfer,03:10:23,C0177,fraudulent,emitere_noaptea
341.94,7,19,numerar,05:15:03,C0192,fraudulent,numerar_prea_mare
159.19,5,19,card,02:53:43,C0050,fraudulent,emitere_noaptea
52.67,8,9,card,03:18:11,C0077,fraudulent,emitere_noaptea
12.1,2,19,transfer,00:14:40,C0009,fraudulent,emitere_noaptea
371.03,8,19,card,02:42:26,C0197,fraudulent,emitere_noaptea
168.86,4,19,numerar,03:48:23,C0128,fraudulent,emitere_noaptea
55.17,4,9,card,02:31:57,C0045,fraudulent,emitere_noaptea
144.04,4,19,card,04:08:19,C0147,fraudulent,emitere_noaptea
298.6,6,9,card,00:44:34,C0076,fraudulent,emitere_noaptea
307.37,7,9,transfer,02:12:44,C0013,fraudulent,emitere_noaptea
76.42,4,19,numerar,01:53:43,C0161,fraudulent,emitere_noaptea
424.66,9,19,card,04:02:00,C0013,fraudulent,emitere_noaptea
463.82,12,9,numerar,01:49:42,C0077,fraudulent,emitere_noaptea;numerar_prea_mare
70.92,5,9,transfer,01:04:17,C0008,fraudulent,emitere_noaptea
17.74,3,19,numerar,02:06:46,C0029,fraudulent,emitere_noaptea
337.34,8,19,card,04:06:10,C0110,fraudulent,emitere_noaptea
80.0,6,9,tichete,02:47:49,C0020,fraudulent,emitere_noaptea
203.69,7,9,tichete,02:30:02,C0031,fraudulent,emitere_noaptea
536.78,12,9,numerar,21:51:47,C0109,fraudulent,numerar_prea_mare
256.1,9,9,transfer,18:25:10,C0016,fraudulent,comerciant_risc
211.64,7,19,tichete,01:29:43,C0053,fraudulent,emitere_noaptea
23.02,2,9,card,09:29:13,C0184,fraudulent,comerciant_risc
113.77,4,9,tichete,03:34:09,C0083,fraudulent,emitere_noaptea
130.91,8,19,transfer,01:18:34,C0099,fraudulent,emitere_noaptea
44.84,3,9,transfer,04:28:30,C0103,fraudulent,emitere_noaptea
183.95,4,9,card,01:24:59,C0143,fraudulent,emitere_noaptea
64.79,7,9,tichete,03:15:35,C0067,fraudulent,emitere_noaptea
51.98,2,19,tichete,03:59:47,C0084,fraudulent,emitere_noaptea
50.85,3,9,tichete,01:00:28,C0083,fraudulent,emitere_noaptea
135.71,4,9,card,04:05:48,C0026,fraudulent,emitere_noaptea
54.96,5,9,tichete,03:11:33,C0145,fraudulent,emitere_noaptea
39.95,3,19,numerar,21:40:57,C0010,fraudulent,comerciant_risc
181.31,4,9,transfer,03:01:49,C0084,fraudulent,emitere_noaptea
335.71,7,19,numerar,06:58:42,C0106,fraudulent,numerar_prea_mare
381.59,10,19,card,03:50:52,C0120,fraudulent,emitere_noaptea
159.72,5,19,card,11:12:09,C0199,fraudulent,comerciant_risc
339.51,9,9,transfer,01:53:01,C0054,fraudulent,emitere_noaptea
179.94,7,19,tichete,01:07:57,C0030,fraudulent,emitere_noaptea
198.29,5,9,transfer,01:17:53,C0089,fraudulent,emitere_noaptea
125.83,3,19,tichete,04:15:55,C0125,fraudulent,emitere_noaptea
275.71,9,19,transfer,04:53:06,C0043,fraudulent,emitere_noaptea
61.19,4,19,card,12:21:36,C0132,fraudulent,comerciant_risc
169.2,6,19,tichete,11:27:34,C0159,fraudulent,comerciant_risc
146.6,4,9,tichete,03:15:28,C0171,fraudulent,emitere_noaptea
53.86,5,19,numerar,01:23:34,C0163,fraudulent,emitere_noaptea
40.23,4,19,card,08:54:53,C0154,fraudulent,comerciant_risc
265.6,8,9,transfer,04:36:50,C0198,fraudulent,emitere_noaptea
303.51,9,19,transfer,17:48:52,C0006,fraudulent,comerciant_risc
64.43,5,19,card,03:46:40,C0116,fraudulent,emitere_noaptea
425.33,11,19,tichete,02:11:34,C0035,fraudulent,emitere_noaptea
7.6,1,19,tichete,03:58:03,C0195,fraudulent,emitere_noaptea
105.32,7,9,tichete,02:14:57,C0121,fraudulent,emitere_noaptea
49.7,6,9,numerar,03:07:35,C0106,fraudulent,emitere_noaptea
81.65,7,9,card,04:54:52,C0030,fraudulent,emitere_noaptea
168.82,4,19,numerar,00:43:05,C0108,fraudulent,emitere_noaptea
34.62,5,9,card,02:49:45,C0107,fraudulent,emitere_noaptea;comerciant_risc
473.56,11,19,numerar,06:18:10,C0010,fraudulent,numerar_prea_mare;comerciant_risc
141.03,5,9,numerar,04:44:32,C0173,fraudulent,emitere_noaptea
55.81,7,9,numerar,00:30:26,C0035,fraudulent,emitere_noaptea
142.97,7,9,numerar,01:05:07,C0147,fraudulent,emitere_noaptea
90.2,3,9,transfer,04:26:10,C0085,fraudulent,emitere_noaptea
212.0,11,19,tichete,00:12:12,C0020,fraudulent,emitere_noaptea
221.97,5,9,numerar,03:42:03,C0041,fraudulent,emitere_noaptea
202.97,9,9,transfer,00:11:17,C0200,fraudulent,emitere_noaptea
104.02,6,9,card,04:00:00,C0115,fraudulent,emitere_noaptea
166.66,4,19,numerar,00:21:54,C0092,fraudulent,emitere_noaptea
26.65,4,19,card,03:27:29,C0111,fraudulent,emitere_noaptea
20.16,3,19,transfer,03:12:16,C0044,fraudulent,emitere_noaptea
27.12,3,9,tichete,12:48:14,C0154,fraudulent,comerciant_risc
39.48,7,19,tichete,04:18:50,C0076,fraudulent,emitere_noaptea
45.96,4,9,transfer,01:28:22,C0142,fraudulent,emitere_noaptea
349.11,9,19,numerar,15:58:59,C0111,fraudulent,numerar_prea_mare
30.87,4,9,card,03:55:22,C0033,fraudulent,emitere_noaptea
56.21,5,9,transfer,03:13:00,C0015,fraudulent,emitere_noaptea
103.71,4,9,numerar,01:47:04,C0069,fraudulent,emitere_noaptea
137.75,7,19,transfer,04:01:50,C0147,fraudulent,emitere_noaptea
286.71,6,19,card,01:45:39,C0019,fraudulent,emitere_noaptea
70.81,4,9,tichete,11:38:23,C0184,fraudulent,comerciant_risc
58.46,6,19,tichete,03:31:24,C0113,fraudulent,emitere_noaptea
319.93,10,9,transfer,02:36:32,C0091,fraudulent,emitere_noaptea
84.98,9,9,numerar,01:23:11,C0186,fraudulent,emitere_noaptea
91.59,5,19,tichete,03:34:10,C0141,fraudulent,emitere_noaptea
184.38,6,19,tichete,01:35:41,C0076,fraudulent,emitere_noaptea
304.76,9,19,numerar,08:40:22,C0071,fraudulent,numerar_prea_mare
99.26,5,9,card,04:14:36,C0110,fraudulent,emitere_noaptea
110.31,5,19,numerar,03:06:45,C0047,fraudulent,emitere_noaptea
63.35,4,19,numerar,01:10:19,C0198,fraudulent,emitere_noaptea
83.13,3,9,transfer,01:25:31,C0128,fraudulent,emitere_noaptea
94.96,6,9,numerar,00:21:45,C0082,fraudulent,emitere_noaptea
16.49,2,9,tichete,03:39:14,C0039,fraudulent,emitere_noaptea
52.08,6,9,numerar,18:34:52,C0136,fraudulent,comerciant_risc
204.14,5,9,transfer,01:55:36,C0029,fraudulent,emitere_noaptea
31.06,5,19,transfer,03:15:16,C0194,fraudulent,emitere_noaptea
99.96,5,19,tichete,01:39:08,C0134,fraudulent,emitere_noaptea
108.31,7,9,numerar,02:17:25,C0004,fraudulent,emitere_noaptea
85.97,10,9,card,23:52:40,C0006,fraudulent,comerciant_risc
196.7,7,19,transfer,03:23:23,C0123,fraudulent,emitere_noaptea
379.93,8,19,tichete,00:20:58,C0129,fraudulent,emitere_noaptea
315.76,11,9,numerar,21:21:23,C0029,fraudulent,numerar_prea_mare
232.74,6,19,numerar,02:48:12,C0038,fraudulent,emitere_noaptea
79.44,3,19,numerar,03:02:05,C0121,fraudulent,emitere_noaptea
268.91,9,19,numerar,01:23:51,C0010,fraudulent,emitere_noaptea;comerciant_risc
229.24,7,19,transfer,02:18:13,C0092,fraudulent,emitere_noaptea
46.22,3,19,numerar,01:42:50,C0042,fraudulent,emitere_noaptea
97.89,7,19,tichete,20:25:46,C0010,fraudulent,comerciant_risc
376.5,8,19,card,04:18:19,C0050,fraudulent,emitere_noaptea
365.93,8,9,numerar,00:02:24,C0184,fraudulent,emitere_noaptea;numerar_prea_mare;comerciant_risc
49.58,3,9,card,04:18:38,C0146,fraudulent,emitere_noaptea
242.51,10,9,card,03:36:25,C0099,fraudulent,emitere_noaptea
156.7,5,9,numerar,00:35:50,C0079,fraudulent,emitere_noaptea
258.84,11,9,numerar,08:29:28,C0010,fraudulent,comerciant_risc
162.87,7,19,transfer,01:21:00,C0135,fraudulent,emitere_noaptea
139.51,3,9,numerar,04:33:34,C0078,fraudulent,emitere_noaptea
78.21,6,19,transfer,03:21:36,C0157,fraudulent,emitere_noaptea
114.43,5,9,card,02:14:22,C0167,fraudulent,emitere_noaptea
141.54,3,9,transfer,23:29:39,C0132,fraudulent,comerciant_risc
231.67,12,9,card,02:07:09,C0120,fraudulent,emitere_noaptea
115.08,8,19,card,00:32:24,C0037,fraudulent,emitere_noaptea
198.25,5,9,numerar,04:06:36,C0098,fraudulent,emitere_noaptea
84.47,2,19,card,02:47:43,C0167,fraudulent,emitere_noaptea
95.77,5,19,tichete,15:25:21,C0154,fraudulent,comerciant_risc
382.28,8,9,numerar,12:58:07,C0157,fraudulent,numerar_prea_mare
474.52,10,9,numerar,11:59:33,C0106,fraudulent,numerar_prea_mare
21.27,4,19,transfer,03:55:33,C0193,fraudulent,emitere_noaptea
108.35,6,9,numerar,04:10:12,C0067,fraudulent,emitere_noaptea
209.98,8,9,card,04:02:51,C0060,fraudulent,emitere_noaptea
350.69,9,9,numerar,02:30:58,C0075,fraudulent,emitere_noaptea;numerar_prea_mare
88.64,4,9,numerar,23:13:26,C0154,fraudulent,comerciant_risc
67.6,5,19,tichete,00:59:43,C0104,fraudulent,emitere_noaptea
84.8,5,19,card,01:22:08,C0156,fraudulent,emitere_noaptea
133.48,6,9,tichete,18:45:56,C0006,fraudulent,comerciant_risc
64.11,9,9,card,23:40:42,C0006,fraudulent,comerciant_risc
325.16,8,19,numerar,17:51:12,C0105,fraudulent,numerar_prea_mare
87.43,7,19,numerar,16:35:01,C0107,fraudulent,comerciant_risc
374.55,9,9,card,03:50:16,C0179,fraudulent,emitere_noaptea
223.69,8,19,tichete,00:10:02,C0051,fraudulent,emitere_noaptea
104.13,6,19,numerar,01:37:24,C0046,fraudulent,emitere_noaptea
106.73,8,9,tichete,04:01:57,C0022,fraudulent,emitere_noaptea
50.98,4,9,tichete,03:02:31,C0061,fraudulent,emitere_noaptea
176.48,7,19,card,02:11:56,C0087,fraudulent,emitere_noaptea
27.37,2,19,tichete,20:17:56,C0132,fraudulent,comerciant_risc
60.84,6,9,tichete,01:02:19,C0192,fraudulent,emitere_noaptea
56.86,3,9,tichete,02:04:00,C0198,fraudulent,emitere_noaptea
244.04,6,19,tichete,03:00:33,C0193,fraudulent,emitere_noaptea
76.87,8,19,transfer,00:07:44,C0185,fraudulent,emitere_noaptea
23.68,2,19,tichete,03:53:59,C0168,fraudulent,emitere_noaptea
187.22,4,9,tichete,03:30:59,C0114,fraudulent,emitere_noaptea
367.52,8,9,card,04:38:33,C0170,fraudulent,emitere_noaptea
242.79,5,19,numerar,04:10:10,C0089,fraudulent,emitere_noaptea
241.7,5,19,tichete,16:12:39,C0016,fraudulent,comerciant_risc
116.06,6,19,numerar,01:15:25,C0044,fraudulent,emitere_noaptea
213.31,9,19,numerar,02:00:02,C0026,fraudulent,emitere_noaptea
214.43,5,9,numerar,01:20:27,C0159,fraudulent,emitere_noaptea;comerciant_risc
206.11,10,9,numerar,03:31:41,C0002,fraudulent,emitere_noaptea
132.97,5,9,numerar,02:13:40,C0155,fraudulent,emitere_noaptea
123.78,3,9,transfer,00:04:29,C0034,fraudulent,emitere_noaptea
293.16,6,19,tichete,10:27:03,C0010,fraudulent,comerciant_risc
170.92,5,9,numerar,03:16:50,C0003,fraudulent,emitere_noaptea
83.28,3,19,card,00:20:43,C0145,fraudulent,emitere_noaptea
74.82,4,19,transfer,02:12:38,C0124,fraudulent,emitere_noaptea
240.87,9,9,numerar,02:28:20,C0127,fraudulent,emitere_noaptea
76.57,4,19,numerar,10:15:54,C0132,fraudulent,comerciant_risc
140.57,4,19,numerar,00:47:11,C0067,fraudulent,emitere_noaptea
50.65,4,19,card,02:33:14,C0113,fraudulent,emitere_noaptea
196.09,7,9,tichete,04:57:26,C0056,fraudulent,emitere_noaptea
75.81,2,19,tichete,07:21:16,C0016,fraudulent,comerciant_risc
77.64,5,19,numerar,02:18:48,C0134,fraudulent,emitere_noaptea
215.61,8,9,numerar,02:04:55,C0063,fraudulent,emitere_noaptea
41.09,2,19,tichete,00:12:55,C0190,fraudulent,emitere_noaptea
236.28,5,19,card,04:48:41,C0168,fraudulent,emitere_noaptea
359.01,10,19,tichete,02:14:08,C0035,fraudulent,emitere_noaptea
479.13,12,9,transfer,00:14:24,C0132,fraudulent,emitere_noaptea;comerciant_risc
201.14,7,19,numerar,08:48:35,C0136,fraudulent,comerciant_risc
62.46,4,9,card,01:32:05,C0074,fraudulent,emitere_noaptea
